Run	SRA_Sample	SRA_Study	LibraryLayout	Platform	DataSourceType	DataSourceLinks	AvgSpotLen	BioSample	DATASTORE_provider	DATASTORE_region	Experiment	InsertSize	Library_Name	MBases	MBytes	Sample_Name	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	Instrument	LibrarySelection	LibrarySource	LoadDate	Organism	ReleaseDate
SRR3286250	SRS1357179	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576079	ncbi sra-sos	sra-sos.be-md sra-sos.st-va	SRX1656912	0		1642	770	GSM2096945	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Brachypodium distachyon	2016-09-05
SRR3286251	SRS1357179	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576079	gs ncbi s3	gs.US s3.us-east-1	SRX1656912	0		1725	812	GSM2096945	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Brachypodium distachyon	2016-09-05
SRR3286252	SRS1357179	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576079	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1656912	0		1616	765	GSM2096945	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Brachypodium distachyon	2016-09-05
SRR3286253	SRS1357178	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576080	sra-sos	sra-sos.be-md sra-sos.st-va	SRX1656913	0		7700	3179	GSM2096947	Bisulfite-Seq	PRJNA316109	GEO	public	sra	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Beta vulgaris	2016-09-05
SRR3286254	SRS1357178	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		151	SAMN04576080	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1656913	0		6329	2806	GSM2096947	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Beta vulgaris	2016-09-05
SRR3286255	SRS1357177	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576071	gs ncbi s3	gs.US s3.us-east-1	SRX1656914	0		2029	1012	GSM2096949	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Citrus clementina	2016-09-05
SRR3286256	SRS1357177	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576071	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1656914	0		1979	991	GSM2096949	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Citrus clementina	2016-09-05
SRR3286257	SRS1357177	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576071	ncbi sra-sos	sra-sos.be-md sra-sos.st-va	SRX1656914	0		1947	973	GSM2096949	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Citrus clementina	2016-09-05
SRR3286258	SRS1357176	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576081	sra-sos	sra-sos.be-md sra-sos.st-va	SRX1656915	0		19923	9509	GSM2096951	Bisulfite-Seq	PRJNA316109	GEO	public	sra	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Cannabis sativa	2016-09-05
SRR3286259	SRS1357175	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576082	ncbi sra-sos	sra-sos.be-md sra-sos.st-va	SRX1656916	0		1302	651	GSM2096953	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Cucumis sativus	2016-09-05
SRR3286260	SRS1357175	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576082	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1656916	0		1221	612	GSM2096953	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Cucumis sativus	2016-09-05
SRR3286261	SRS1357175	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576082	ncbi sra-sos	sra-sos.be-md sra-sos.st-va	SRX1656916	0		1182	592	GSM2096953	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Cucumis sativus	2016-09-05
SRR3286262	SRS1357174	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		150	SAMN04576083	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1656917	0		4266	1818	GSM2096956	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	NextSeq 500	RANDOM	GENOMIC	2016-03-23	Cucumis sativus	2016-09-05
SRR3286263	SRS1357174	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		150	SAMN04576083	gs s3	gs.US s3.us-east-1	SRX1656917	0		4234	1784	GSM2096956	Bisulfite-Seq	PRJNA316109	GEO	public	sra	NextSeq 500	RANDOM	GENOMIC	2016-03-23	Cucumis sativus	2016-09-05
SRR3286264	SRS1357174	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		150	SAMN04576083	gs ncbi s3	gs.US s3.us-east-1	SRX1656917	0		4282	1825	GSM2096956	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	NextSeq 500	RANDOM	GENOMIC	2016-03-23	Cucumis sativus	2016-09-05
SRR3286265	SRS1357174	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		150	SAMN04576083	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1656917	0		4147	1758	GSM2096956	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	NextSeq 500	RANDOM	GENOMIC	2016-03-23	Cucumis sativus	2016-09-05
SRR3286266	SRS1357173	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576084	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1656918	0		20139	9449	GSM2096958	Bisulfite-Seq	PRJNA316109	GEO	public	sra	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Eucalyptus grandis	2016-09-05
SRR3286267	SRS1357172	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576085	gs s3	gs.US s3.us-east-1	SRX1656919	0		18017	8247	GSM2096960	Bisulfite-Seq	PRJNA316109	GEO	public	sra	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Fragaria vesca	2016-09-05
SRR3286268	SRS1357171	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		150	SAMN04576086	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1656920	0		1274	548	GSM2096962	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	NextSeq 500	RANDOM	GENOMIC	2016-03-23	Fragaria vesca	2016-09-05
SRR3286269	SRS1357171	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		150	SAMN04576086	gs ncbi s3	gs.US s3.us-east-1	SRX1656920	0		1299	551	GSM2096962	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	NextSeq 500	RANDOM	GENOMIC	2016-03-23	Fragaria vesca	2016-09-05
SRR3286270	SRS1357171	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		150	SAMN04576086	gs ncbi s3	gs.US s3.us-east-1	SRX1656920	0		1272	547	GSM2096962	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	NextSeq 500	RANDOM	GENOMIC	2016-03-23	Fragaria vesca	2016-09-05
SRR3286271	SRS1357171	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		150	SAMN04576086	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1656920	0		1254	536	GSM2096962	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	NextSeq 500	RANDOM	GENOMIC	2016-03-23	Fragaria vesca	2016-09-05
SRR3286272	SRS1357170	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576087	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1656921	0		4026	2007	GSM2096965	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Lotus japonicus	2016-09-05
SRR3286273	SRS1357170	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576087	gs ncbi s3	gs.US s3.us-east-1	SRX1656921	0		3932	1967	GSM2096965	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Lotus japonicus	2016-09-05
SRR3286274	SRS1357170	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576087	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1656921	0		3889	1943	GSM2096965	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Lotus japonicus	2016-09-05
SRR3286275	SRS1357169	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576088	gs s3	gs.US s3.us-east-1	SRX1656922	0		14849	6524	GSM2096967	Bisulfite-Seq	PRJNA316109	GEO	public	sra	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Malus domestica	2016-09-05
SRR3286276	SRS1357168	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576089	gs ncbi s3	gs.US s3.us-east-1	SRX1656923	0		1871	941	GSM2096969	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Manihot esculenta	2016-09-05
SRR3286277	SRS1357168	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576089	gs ncbi s3	gs.US s3.us-east-1	SRX1656923	0		1770	893	GSM2096969	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Manihot esculenta	2016-09-05
SRR3286278	SRS1357168	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576089	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1656923	0		1720	867	GSM2096969	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Manihot esculenta	2016-09-05
SRR3286279	SRS1357168	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576089	gs s3	gs.US s3.us-east-1	SRX1656923	0		1181	499	GSM2096969	Bisulfite-Seq	PRJNA316109	GEO	public	sra	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Manihot esculenta	2016-09-05
SRR3286280	SRS1357168	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576089	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1656923	0		4659	2247	GSM2096969	Bisulfite-Seq	PRJNA316109	GEO	public	sra	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Manihot esculenta	2016-09-05
SRR3286281	SRS1357167	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		150	SAMN04576090	gs s3	gs.US s3.us-east-1	SRX1656924	0		4784	2049	GSM2096971	Bisulfite-Seq	PRJNA316109	GEO	public	sra	NextSeq 500	RANDOM	GENOMIC	2016-03-23	Manihot esculenta	2016-09-05
SRR3286282	SRS1357167	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		150	SAMN04576090	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1656924	0		4754	2012	GSM2096971	Bisulfite-Seq	PRJNA316109	GEO	public	sra	NextSeq 500	RANDOM	GENOMIC	2016-03-23	Manihot esculenta	2016-09-05
SRR3286283	SRS1357167	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		150	SAMN04576090	ncbi sra-sos	sra-sos.be-md sra-sos.st-va	SRX1656924	0		4797	2054	GSM2096971	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	NextSeq 500	RANDOM	GENOMIC	2016-03-23	Manihot esculenta	2016-09-05
SRR3286284	SRS1357167	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		150	SAMN04576090	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1656924	0		4676	1991	GSM2096971	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	NextSeq 500	RANDOM	GENOMIC	2016-03-23	Manihot esculenta	2016-09-05
SRR3286285	SRS1357166	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		150	SAMN04576091	ncbi sra-sos	sra-sos.be-md sra-sos.st-va	SRX1656925	0		4172	1779	GSM2096973	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	NextSeq 500	RANDOM	GENOMIC	2016-03-23	Manihot esculenta	2016-09-05
SRR3286286	SRS1357166	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		150	SAMN04576091	gs s3	gs.US s3.us-east-1	SRX1656925	0		4183	1763	GSM2096973	Bisulfite-Seq	PRJNA316109	GEO	public	sra	NextSeq 500	RANDOM	GENOMIC	2016-03-23	Manihot esculenta	2016-09-05
SRR3286287	SRS1357166	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		150	SAMN04576091	gs ncbi s3	gs.US s3.us-east-1	SRX1656925	0		4183	1784	GSM2096973	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	NextSeq 500	RANDOM	GENOMIC	2016-03-23	Manihot esculenta	2016-09-05
SRR3286288	SRS1357166	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		150	SAMN04576091	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1656925	0		4092	1735	GSM2096973	Bisulfite-Seq	PRJNA316109	GEO	public	sra	NextSeq 500	RANDOM	GENOMIC	2016-03-23	Manihot esculenta	2016-09-05
SRR3286289	SRS1357165	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576092	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1656926	0		982	537	GSM2096975	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Erythranthe guttata	2016-09-05
SRR3286290	SRS1357165	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576092	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1656926	0		1273	589	GSM2096975	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Erythranthe guttata	2016-09-05
SRR3286291	SRS1357165	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576092	gs ncbi s3	gs.US s3.us-east-1	SRX1656926	0		1195	550	GSM2096975	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Erythranthe guttata	2016-09-05
SRR3286292	SRS1357165	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576092	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1656926	0		1154	529	GSM2096975	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Erythranthe guttata	2016-09-05
SRR3286293	SRS1357165	SRP072226	SINGLE	ILLUMINA	gcs_uri_provider		101	SAMN04576092	gs ncbi s3	gs.US s3.us-east-1	SRX1656926	0		1232	568	GSM2096975	Bisulfite-Seq	PRJNA316109	GEO	public	sra unknown_contigs	Illumina HiSeq 2000	RANDOM	GENOMIC	2016-03-23	Erythranthe guttata	2016-09-05
